IDEP 2023;;;;;;;;IDEP;;METAS;
Cod_Esc;Escola;Diretoria;Distrito;NSE;Grupo;ICG;Faixa;IDEP_INICIAL;IDEP_FINAL;IDEP_INICIAL;IDEP_FINAL
92762;EMEF JOAO XXIII;BUTANTA;RAPOSO TAVARES;49,81640282;2;6;4;4;2,3;4,5;3,9
94196;EMEF ERICO VERISSIMO;FREGUESIA/BRASILANDIA;FREGUESIA DO O;50,00111797;2;3;3;4,4;2,7;4,6;3,6
94269;EMEF CASTRO ALVES;FREGUESIA/BRASILANDIA;BRASILANDIA;46,35954027;1;5;2;4,1;2,7;3,7;3,5
94315;EMEF PEDRO AMERICO;FREGUESIA/BRASILANDIA;FREGUESIA DO O;46,12330621;1;3;1;4,4;2,8;3,8;3,0
19351;EMEF MARILI DIAS, PROFA;PIRITUBA;ANHANGUERA;48,57506222;1;3;1;4,1;2,9;4,5;3,9
19384;CEU EMEF PARAISOPOLIS;CAMPO LIMPO;VILA ANDRADE;47,66445672;1;3;1;3,8;3,0;3,7;3,5
94340;EMEF AROLDO DE AZEVEDO, PROF.;FREGUESIA/BRASILANDIA;LIMAO;50,49885876;2;5;4;4,4;3,0;3,3;3,5
15024;EMEF CAIO SERGIO POMPEU DE TOLEDO, DEP.;GUAIANASES;CIDADE TIRADEN;49,10249657;1;3;1;4,8;3,2;3,8;2,9
19221;EMEF JARDIM DAS LARANJEIRAS;SAO MATEUS;IGUATEMI;49,32155318;1;3;1;5;3,2;4,9;4,4
13528;EMEF ANNA LAMBERGA ZEGLIO, VER.;GUAIANASES;CIDADE TIRADEN;48,74016398;1;6;2;3,6;3,3;3,9;3,1
14583;EMEF FLAVIO AUGUSTO ROSA, PROF.;SAO MIGUEL;JARDIM HELENA;49,27875601;1;3;1;4,2;3,3;4,2;3,0
19422;EMEF M BOI MIRIM I;CAMPO LIMPO;JARDIM SAO LUI;48,69303992;1;3;1;4,9;3,3;4,6;4,0
94277;EMEF JOAO AMOS COMENIUS;FREGUESIA/BRASILANDIA;BRASILANDIA;47,22392962;1;3;1;3,5;3,3;3,1;3,0
94358;EMEF ANGELINA MAFFEI VITA, DA.;FREGUESIA/BRASILANDIA;CASA VERDE;48,50794947;1;5;2;4,4;3,3;4,4;3,7
99783;EMEF GERALDO SESSO JUNIOR;FREGUESIA/BRASILANDIA;BRASILANDIA;47,27869356;1;3;1;3,4;3,3;4,0;2,9
191;EMEF ALIPIO CORREA NETO, PROF.;BUTANTA;VILA SONIA;49,3158978;1;3;1;4,4;3,4;4,9;3,9
19704;EMEF PRIMO PASCOLI MELARE, PROF.;FREGUESIA/BRASILANDIA;BRASILANDIA;48,85483203;1;6;2;4,1;3,4;3,6;3,0
94625;EMEF CAXIAS, DUQUE DE;IPIRANGA;SE;47,66207512;1;6;2;4,1;3,4;3,6;3,4
95257;EMEF ANTONIO DE SAMPAIO DORIA, PROF.;SANTO AMARO;CIDADE ADEMAR;49,85906656;2;6;4;4;3,4;3,7;2,9
97721;EMEF JOSE AUGUSTO CESAR SALGADO, DR.;GUAIANASES;CIDADE TIRADEN;50,20174498;2;3;3;4;3,4;4,2;3,5
10154;EMEF MAURO FACCIO GONCALVES - ZACARIA;CAMPO LIMPO;JARDIM SAO LUI;50,43790683;2;5;4;4,9;3,5;4,9;3,1
18511;EMEF CARLOS CORREA MASCARO, PROF.;SAO MATEUS;IGUATEMI;50,44284772;2;3;3;4,8;3,5;4,4;4,2
19046;EMEF CELIA REGINA LEKEVICIUS CONSOLIN, PROFA.;JACANA/TREMEMBE;VILA MARIA;50,02834346;2;3;3;3,6;3,5;4,3;3,1
